Phase/Feature,Type,Task,Min H,Max H,Min Cost,Max Cost
20 Permisos en Exámenes,Desarrollo Backend,Sistema de permisos refinado instructor/admin,1.2,1.6,60.0,80.0
20 Permisos en Exámenes,Testeo,Testing de permisos por rol específico,0.2,0.2,7.0,7.0
21 Selector de Preguntas Mejorado,Desarrollo Frontend,Botón seleccionar todo y selección masiva,0.8,1.2,32.0,48.0
21 Selector de Preguntas Mejorado,Desarrollo Frontend,Vista previa mejorada con enunciado completo,1.2,1.6,48.0,64.0
21 Selector de Preguntas Mejorado,Testeo,Testing de selección masiva y preview,0.2,0.2,7.0,7.0
22 Códigos de Colores y Aleatoriedad,Desarrollo Frontend,Colores por porcentaje de acierto,0.8,1.2,32.0,48.0
22 Códigos de Colores y Aleatoriedad,Desarrollo Backend,Aleatoriedad mejorada respetando temas,0.8,1.2,40.0,60.0
22 Códigos de Colores y Aleatoriedad,Testeo,Testing de lógica de colores y distribución,0.2,0.2,7.0,7.0
23 Ordenación de Syllabus,Desarrollo Backend,Campo order en modelo Topic/Theme,0.4,0.8,20.0,40.0
23 Ordenación de Syllabus,Desarrollo Frontend,Interfaz drag & drop para reordenar temas,1.2,1.6,48.0,64.0
23 Ordenación de Syllabus,Testeo,Testing de drag & drop y persistencia,0.2,0.2,7.0,7.0
24 Menú Responsive,Desarrollo Frontend,Media queries específicas para iPad vertical,0.8,1.2,32.0,48.0
24 Menú Responsive,Testeo,Testing responsive en iPad,0.2,0.2,7.0,7.0
25 Selector Mobile,Desarrollo Frontend,Componentes optimizados para móvil,1.2,1.6,48.0,64.0
25 Selector Mobile,Testeo,Testing de UX móvil,0.2,0.2,7.0,7.0
26 Reuniones y Coordinación,Reuniones,Sesiones de coordinación y revisión de progreso,1.6,3.2,0.0,0.0
