Phase/Feature,Type,Task,Min H,Max H
08 Responsive Móvil y Pulido UX,Desarrollo Frontend,Añadir estados de carga y mejoras de manejo de errores,2,3
08 Responsive Móvil y Pulido UX,Testeo,Pruebas de compatibilidad multi-dispositivo,2,3
10 Sistema de Usuarios,CTO/Arquitectura,Diseñar modelo de permisos granular,6,9
10 Sistema de Usuarios,Desarrollo Backend,Implementar middleware de permisos,4.5,7.5
10 Sistema de Usuarios,Desarrollo Frontend,Crear UI gestión de roles,4.5,6.8
10 Sistema de Usuarios,Desarrollo Backend,Integrar autenticación Google,3.8,6
10 Sistema de Usuarios,Diseño UI/UX,Diseñar UI panel superadmin,4.5,7.5
10 Sistema de Usuarios,Desarrollo Backend,Implementar CRUD agencias,4.5,6.8
10 Sistema de Usuarios,Desarrollo Frontend,Desarrollar panel superadmin,6,9
11 Gestión de Clientes,Desarrollo Backend,Diseñar modelo cliente extendido,3.8,6
11 Gestión de Clientes,Diseño UI/UX,Crear UI ficha cliente,4.5,6.8
11 Gestión de Clientes,Desarrollo Backend,Implementar CRUD cliente,4.5,6.8
11 Gestión de Clientes,Desarrollo Frontend,Desarrollar UI gestión clientes,5.3,7.5
11 Gestión de Clientes,Diseño UI/UX,Diseñar flujo onboarding,3.8,6
11 Gestión de Clientes,Desarrollo Backend,Implementar tracking onboarding,3.8,6
11 Gestión de Clientes,Desarrollo Frontend,Crear UI onboarding,4.5,6.8
12 Gestión de Proyectos,Desarrollo Backend,Diseñar modelo proyecto,4.5,6.8
12 Gestión de Proyectos,Desarrollo Backend,Implementar plantillas setup,4.5,6.8
12 Gestión de Proyectos,Diseño UI/UX,Diseñar UI Kanban,5.3,7.5
12 Gestión de Proyectos,Desarrollo Backend,Implementar backend Kanban,4.5,6.8
12 Gestión de Proyectos,Desarrollo Frontend,Desarrollar frontend Kanban,6,9
12 Gestión de Proyectos,Desarrollo Backend,Crear sistema registro tiempo,3.8,6
12 Gestión de Proyectos,Desarrollo Frontend,Implementar UI registro tiempo,3.8,6
13 Comunicación,CTO/Arquitectura,Diseñar sistema mensajería,5.3,7.5
13 Comunicación,Desarrollo Backend,Implementar backend chat,6,9
13 Comunicación,Diseño UI/UX,Crear UI chat,4.5,6.8
13 Comunicación,Desarrollo Frontend,Desarrollar frontend chat,6,9
13 Comunicación,Desarrollo Backend,Implementar sistema tickets,4.5,6.8
13 Comunicación,Desarrollo Frontend,Crear UI tickets,4.5,6.8
13 Comunicación,Desarrollo Backend,Integrar videollamadas,4.5,6.8
14 Métricas,CTO/Arquitectura,Diseñar modelo analytics,4.5,6.8
14 Métricas,Desarrollo Backend,Implementar agregación datos,5.3,7.5
14 Métricas,Diseño UI/UX,Crear dashboards KPIs,5.3,7.5
14 Métricas,Desarrollo Frontend,Desarrollar UI métricas,6,9
14 Métricas,Desarrollo Backend,Implementar filtros,3.8,6
14 Métricas,Testeo,Testear métricas,3,4.5
99 Finalización,Desarrollo Backend,Configurar entorno de producción y headers de seguridad,2,3
99 Finalización,CTO/Arquitectura,Configurar deployment Docker Swarm,3,4
99 Finalización,Testeo,Pruebas end-to-end de journeys completos de usuario,4,6
99 Finalización,Testeo,Pruebas de rendimiento para conversaciones concurrentes,2,3
99 Finalización,CTO/Arquitectura,Desplegar en VPS IONOS y configurar monitoreo,2,3
99 Finalización,Reuniones,Sesión final de revisión y entrega,1,2
99 Finalización,Testeo,Pruebas integración V2,6,9
99 Finalización,CTO/Arquitectura,Optimización rendimiento,4.5,6.8
99 Finalización,CTO/Arquitectura,Documentación técnica,3.8,6
99 Finalización,Reuniones,Sesión entrega V2,2.3,3 
